slug,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,female_ratio,header_count,male_ratio,num_female,num_male,readability,stars,total_num_commits,total_num_contributors,compound,has_url,contrib,coc,readMeLength
mtpetros/create-react-app,48,48,48,0.04023845007451565,11,0.767511177347243,27,515,-52.47,0,2188,671,0.9982,True,1,1,57
Voitanos/jest-preset-spfx-react16,49,49,49,0.0,4,1.0,0,1,-24.97,1,4,1,0.9513,False,0,0,26
anvaka/ngraph.merge,50,50,50,0.0,0,1.0,0,3,1.63,0,11,3,0.7947,False,0,0,9
cerner/terra-clinical,51,51,51,0.047619047619047616,5,0.6428571428571429,2,27,-507.63,33,426,42,0.9389,True,1,1,68
piecioshka/find-emails-in-string-cli,52,52,52,0.0,6,1.0,0,1,-69.98,3,12,1,0.9147,False,0,0,6
geostarters/icgc-js-common,53,53,53,0.4,5,0.2,2,1,-43.03,0,116,5,0.9171,False,0,0,15
tenso2006/TooltipFeature,54,54,54,0.5,3,0.5,1,1,-182.63,2,42,2,0.9358,False,0,0,12
LinusU/decode-ico,55,55,55,0.0,3,1.0,0,1,-12.48,11,33,1,0.4588,False,0,0,6
plone/plone-react,56,56,56,0.0,4,0.8,0,24,-25.27,32,1455,30,0.9907,True,0,0,26
groupby/storefront-core,57,57,57,0.16666666666666666,4,0.6666666666666666,3,12,-201.92,2,443,18,0.938,False,0,0,56
alexcheng1982/ngrx-helper,58,58,58,0.0,0,1.0,0,1,94.15,0,20,1,0.765,False,0,0,1
voxeet/voxeet-cordova-conferencekit,59,59,59,0.125,5,0.625,1,5,-63.34,0,202,8,0.765,False,0,0,9
data-exp-lab/yt-canvas-widget,60,60,60,0.16666666666666666,0,0.5,1,3,-188.04,0,144,6,0.8652,True,0,0,10
eldh/bs-react-scripts,61,61,61,0.0,4,1.0,0,2,-4.47,0,32,2,0.9201,False,0,0,11
dolymood/date-time-picker,62,62,62,0.6666666666666666,4,0.0,2,0,-9.64,92,52,3,-0.4184,True,0,0,10
yorgsite/node-styl,63,63,63,0.0,0,1.0,0,3,-36.8,0,8,3,0.25,False,0,0,2
hutsoninc/react-email-share-link,64,64,64,0.0,4,1.0,0,2,8.88,0,8,2,0.6207,True,0,0,3
curveballjs/session,65,65,65,0.0,0,1.0,0,1,1.78,0,37,1,0.8422,False,0,1,19
treebohotels/leaf-ui,66,66,66,0.21052631578947367,1,0.5789473684210527,4,11,-120.37,27,368,19,0.7506,True,1,1,2
mariangibala/gm-ebus,67,67,67,0.0,1,1.0,0,1,3.46,0,39,1,0.8490000000000001,False,0,0,9
